patient_email,password,first_name,last_name,phone,medicare
jack@gmail.com,cs1531, Jack, Black, 0491570156, 6771653701
tom@gmail.com,cs1531, Tom, Hanks, 0433918110, 2138852231
isaac@gmail.com, cs1531, Isaac, Cohen, 0481500159, 5444130921
hao@gmail.com,cs1531, Hao, Zhang, 0465897224, 6836559801
jason@outlook.com, cs1531, Jason, Bourne, 0427278765, 98765432176
ligma@bigpond.com, cs1531, Ligma, Balls, 0465659371, 78912379174
bruce.wayne@batman.com, cs1531, Bruce, Wayne, 048181037, 67391728101
ben@microsoft.com, cs1531, Ben, Dover, 0498766789, 98742129843
ash@mail.com, cs1531, Ash, Ketchum, 0456731982, 76832106831
conor@ufc.com, cs1531, Conor, Mcgregor, 04781391761, 96915175467
