provider_email,health_centre_name
toby@gmail.com,Sydney Children Hospital
toby@gmail.com,UTS Health Service
samuel@gmail.com,Prince of Wales Hospital
sid@gmail.com,Royal Prince Alfred Hospital
michael@gmail.com,USYD Health Service
anna@gmail.com,UTS Health Service
thomas@gmail.com,Prince of Wales Hospital
ian@gmail.com,Sydney Children Hospital
gary@gmail.com,Sydney Children Hospital
anna@gmail.com,Sydney Children Hospital
anna@gmail.com,Prince of Wales Hospital
gary@gmail.com,USYD Health Service
ben@gmail.com,Sydney Children Hospital
liam@gmail.com,Prince of Wales Hospital
amy@gmail.com,UTS Health Service
sarah@gmail.com,Prince of Wales Hospital
lisa@gmail.com,USYD Health Service
lisa@gmail.com,Sydney Children Hospital
ric@gmail.com,Sydney Children Hospital
ric@gmail.com,UNSW Health Service
ric@gmail.com,Royal Prince Alfred Hospital
peter@gmail.com,UTS Health Service
